Title,Page
1.  Electronically.  You may submit electronic comments on this regulation to,2
2.  By regular mail.  You may mail written comments to the following address ONLY:,2
3.  By express or overnight mail.  You may send written comments to the following,2
I.  Executive Summary,7
A.  Purpose,7
B.  Summary of the Major Provisions,8
C.  Summary of Costs and Benefits,12
II.  Provisions of the Proposed Rule for the PFS,12
A.  Background,12
B.  Determination of PE RVUs,12
1.  Overview,13
2.  Practice Expense Methodology,13
a. Direct Practice Expense,13
b. Indirect Practice Expense per Hour Data,13
c.  Allocation of PE to Services,16
3.  Adjusting RVUs To Match the PE Share of the Medicare Economic Index (MEI),29
4.  Changes to Direct PE Inputs for Specific Services,32
a. Standardization of Clinical Labor Tasks,32
b.  Updates to Prices for Existing Direct PE Inputs,36
te,44
5.  Development of Strategies for Updates to Practice Expense Data Collection and Methodology,51
a. Background,51
b. Preparation for Incorporating Refreshed Data and Request for Information on Timing to,54
C.  Potentially Misvalued Services Under the PFS,56
1.  Background,56
2.  Progress in Identifying and Reviewing Potentially Misvalued Codes,60
3.  CY 2025 Identification and Review of Potentially Misvalued Services,62
a.  Public Nominations,63
D.  Payment for Medicare Telehealth Services Under Section 1834(m) of the Act,75
1. Payment for Medicare Telehealth Services Under Section 1834(m) of the Act,75
a.  Changes to the Medicare Telehealth Services List,75
b.  Requests to Add Services to the Medicare Telehealth Services List for CY 2025,82
c. Other Services Proposed for Addition to the Medicare Telehealth Services List,91
Inpatient and,96
1. Subsequent Inpatient Visit CPT Codes:,97
2. Subsequent Nursing Facility Visit CPT Codes:,97
3. Critical Care Consultation Services: HCPCS Codes,98
e. Audio-Only Communication Technology to Meet the Definition of “Telecommunications,99
f. Distant Site Requirements,101
2. Other Non-Face-to-Face Services Involving Communications Technology under the PFS,103
a.  Direct Supervision via Use of Two-way Audio/Video Communications Technology,103
3. Telehealth Originating Site Facility Fee Payment Amount Update,113
"4. Payment for Outpatient Therapy Services, Diabetes Self-Management Training, and Medical",114
E.  Valuation of Specific Codes,114
"1.  Background:  Process for Valuing New, Revised, and Potentially Misvalued Codes",114
2.  Methodology for Establishing Work RVUs,116
3. Methodology for the Direct PE Inputs to Develop PE RVUs,122
a.  Background,122
b.  Common Refinements,123
,"124) The Program is designed to be a collaborative effort between the Department of Health and the National Institute of Mental Health (NIMH) and other stakeholders. The Department is committed to providing a high-quality, high quality, low-cost, highly effective program that is accessible to all, including those who"
"9–171) (DRA) amended section 1848(b)(4) of the Act to require that, for imaging services,",128
4.  Valuation of Specific Codes for CY 2025,130
1.  Disease Transmission Risk Assessment and Mitigation,196
"2.  Public Health Investigation, analysis, and testing",197
3.  Complex Antimicrobial Therapy Counseling & Treatment,197
a.  Background,203
b. Caregiver Assessment,204
c.  Proposals and New Coding,205
i.  Coding,205
i.  Coding,209
a.  Background,212
b.  Request for Information on Services Addressing Health-Related Social Needs,213
F.  Evaluation and Management (E/M) Visits,243
1. Office/Outpatient (O/O) Evaluation and Management (E/M) Visit Complexity Add-on,243
G. Enhanced Care Management,246
1. Background,246
"2. Advanced Primary Care Management (APCM) Services (HCPCS codes GPCM1, GPCM2,",249
a. Background,249
b. Proposed HCPCS G-Codes for Advanced Primary Care Management (APCM),256
,257) 2. Proposal for Enhanced Primary care services to address health-related social needs (Q-CDM services) and to improve the quality of care for patients (R-HCMC) service (s) in the community
CM Service Elements and Practice-Level Capabilities,273
"S. (2013). Continuity of care and the risk of preventable hospitalization in older adults. JAMA Internal Medicine,",283
"S. T., Dorr, D. A., & Landon, B. E. (2017). Can personalized care planning improve primary care? JAMA, 318(1),",287
"A. L., & Ferris, T. G. (2014, August). Caring for High-Need, High-Cost Patients: What Makes for a Successful Care",295
d. Duplicative Services and Concurrent Billing Restrictions,304
"e. Valuation of APCM Services—GPCM1, GPCM2, and GPCM3",308
3. Request for Information: Advanced Primary Care Hybrid Payment,315
a. Background,315
b. Solicitation of Public Comments,319
4. Cardiovascular Risk Assessment and Risk Management,328
a. Background,328
b. ASCVD Risk Assessment,331
c. Atherosclerotic Cardiovascular Disease Risk Management Services (GCDRM),333
5. Strategies for Improving Global Surgery Payment Accuracy,337
,337
b.  Clarifying the Scope of Global Surgical Packages,341
c.  Strategies to Address Global Package Valuation,343
d.  Expand Applicability of Transfer of Care Modifiers,345
g.  Proposed Valuation for GPOC1 Add-On Code,354
"H.  Supervision of Outpatient Therapy Services in Private Practices, Certification of Therapy",356
1. Supervision of Outpatient Therapy Services in Private Practices,356
2. Certification of Therapy Plans of Care with a Physician or NPP Order,361
3. KX Modifier Thresholds,368
I.  Advancing Access to Behavioral Health Services,370
1.   Safety Planning Interventions and Post-Discharge Telephonic Follow-up Contacts,370
a. Background,370
b. Safety Planning Interventions (SPI),371
c.  Post-Discharge Telephonic Follow-up Contacts Intervention (FCI),373
2. Digital Mental Health Treatment (DMHT),377
a. Background,378
b. Payment for Digital Mental Health Treatment (DMHT) Devices,381
. Interprofessional Consultation Billed by Practitioners Authorized by Statute to Treat,384
a. Background,384
b. Coding,386
c. Valuation,388
"4. Comment Solicitation on Payment for Services Furnished in Additional Settings, including",388
J. Proposals on Medicare Parts A and B Payment for Dental Services Inextricably Linked to,392
1. Medicare Payment for Dental Services,392
a. Overview,392
b. Consideration of Dental Services that may be Inextricably Linked to Other Covered Services,394
1.  Consideration of Dental Services that may be Inextricably Linked to Covered Services for the,397
2.  Consideration of Dental Services that may be Inextricably Linked to Covered Services for the,399
c. Submissions Received Through Public Submission Process,403
2. Proposed Additions to Current Policies Permitting Payment for Dental Services Inextricably,410
Hemodialysis. Int J Dent. 2018 Nov,415
R. Dental Care for Patients with End-Stage Renal Disease and Undergoing Hemodialysis. Int J Dent. 2018 Nov,417
3. Request for Comment on Dental Services Integral to Specific Covered Services to Treat,422
22. doi:10.7326/0003-4819-147-6-200709180-00012.,431
46. doi:10.1016/j.metabol.2012.03.020.,431
4. Request for Comment on Dental Services Integral to Specific Covered Services to Treat,435
5. Implementation of Payment for Dental Services Inextricably Linked to Other Specific,441
6. Request for Information: Services Associated with Furnishing Oral Appliances Used for the,447
K. Payment for Skin Substitutes,453
III. Other Provisions of the Proposed Rule,454
A. Drugs and Biological Products Paid Under Medicare Part B,454
1. Requiring Manufacturers of Certain Single-Dose Container or Single-Use Package Drugs to,455
a. Background,455
ercentage,457
c. Clarifications for the definition of refundable single-dose container or single-use package drug,460
d. Discarded amounts,466
2.  Payment Limit Calculation When Manufacturers Report Negative or Zero Average Sales,468
a. Background,468
b. Approach to payment limit calculations when manufacturer’s ASP data is not available,472
c. Single and multiple source drugs when negative or zero manufacturer’s ASP data is reported,473
d. Multiple source drugs with only negative or zero manufacturer’s ASP data,474
"e. Single source drugs with only negative or zero manufacturer’s ASP data, excluding biosimilar",476
f. Biosimilars with only negative or zero manufacturer’s ASP data,477
g. Discontinued drugs,481
h. Summary,482
3. Payment of radiopharmaceuticals in the physician office,484
4.  Immunosuppressive therapy (§§ 410.30 and 414.1001),486
a. Background,486
h Oral or Enteral Routes of Administration,488
c. Immunosuppressive Refill Policy and Supplying Fee,490
633. doi: 10.1002/phar.2716.,491
5. Blood clotting factors (§ 410.63),492
a. Background,492
B.  Rural Health Clinics (RHCs) and Federally Qualified Health Centers (FQHCs),499
1. Background on RHC and FQHC Payment Methodologies,499
2. General Care Management Services in RHCs and FQHCs,500
a.  Background,500
b. Proposed Regulatory Update (§ 405.2464(c)),504
c.  Proposed Payment Policy for General Care Management Services,504
d. New Codes for Advanced Primary Care Management (APCM) Services,512
e. Request for Information – Aligning with Services Paid Under the PFS,517
3. Telecommunication Services,519
a. Background,519
b. Direct Supervision via Use of Two-way Audio/Video Communications Technology,521
c.  Telecommunications Technology,524
d. In-person Visit Requirements for Remote Mental Health  (PHS),525
Services Furnished by RHC and,528
4. Intensive Outpatient Program Services (IOP),529
a. Background,529
b. Update to Special Payment Rules for Intensive Outpatient Services,530
c. Technical Correction (§§ 405.2410 and 405.2462),531
5. Payment for Preventive Vaccine Costs in RHCs and FQHCs,532
a. Background,532
b. Revisions to Current Policy,533
6. Productivity Standards,537
a. Background,537
7.  Proposed Rebasing of the FQHC Market Basket,539
a. Background,539
b. Overview of the Proposed 2022-Based FQHC Market Basket,541
c.  Development of the Proposed 2022-Based FQHC Market Basket Cost Categories and,542
"31.  These lines represent the wages and salaries costs for physicians, PAs, NPs, CNMs, CPs,",544
d. Selection of Price Proxies,556
e. Proposed CY 2025 Productivity-Adjusted Market Basket Update for FQHCs,563
8.  Clarification for Dental Services Furnished in FQHCs,566
l Services Furnished in FQHCs,566
b.  Medical and Dental Visits Furnished on the Same Day,568
9.  “Grandfathered” Technical Refinement,569
b.  Technical Refinement,569
C.  Rural Health Clinic (RHC) and Federally Qualified Health Center (FQHC) Conditions for,570
1. Background and Statutory Authority,570
2.  Proposed Changes to the RHC and FQHC Conditions for Certification and Conditions for,570
a.  Provision of Services (42 CFR 491.9),571
b. Laboratory Requirements (42 CFR 491.9),577
D. Clinical Laboratory Fee Schedule: Revised Data Reporting Period and Phase-in of Payment,581
1.  Background on the Clinical Laboratory Fee Schedule,581
2.  Payment Requirements for Clinical Diagnostic Laboratory Tests,582
3.  Previous Statutory Revisions to the Data Reporting Period and Phase-In of Payment,584
4.  Additional Statutory Revisions to the Data Reporting Period and Phase-In of Payment,588
egulatory Changes,590
"G.  Specifically, we are proposing to revise the definitions of both the “data collection period”",590
E.  Medicare Diabetes Prevention Program (MDPP),591
1.  Proposed Changes to § 410.79 by amending paragraphs (b) and (d)(1),593
2. Proposed Changes to § 410.79(e)(3)(iii),597
"3. Proposed Changes to § 414.84(a), (c), (d), and (e)",600
"4. Aligning language with previous rulemaking in §§ 410.79, 424.205, and 414.84",604
F.  Modifications Related to Medicare Coverage for Opioid Use Disorder (OUD) Treatment,606
1. Background,606
2. Telecommunication Flexibilities for Periodic Assessments and Initiation of Treatment with,609
a. Proposal to Allow Periodic Assessments to be Furnished via Audio-only Telecommunications,610
"L. 117-103, March 15, 2022). Specifically, it amended sections 1834(m), 1834(o), and 1834(y)",612
472. https://doi.org/10.1111/jrh.12570.,616
Visual Telecommunications for Initiation of Treatment,617
"M. (2020). “Comparative effectiveness of different treatment pathways for opioid use disorder.” JAMA Network Open, 3(2),",620
3. Proposals Related to Reforms to 42 CFR Part 8,624
a. Proposal to Establish Payment for Social Determinants of Health Risk Assessments,633
"D. L., Johnson, K., Laha-Walsh, K., McDaniel, J., & McIntosh, S. (2021). “Social determinants of opioid use among patients in",636
K. (2017). Macroeconomic conditions and opioid abuse (Working Paper 23192). National Bureau of Economic Research.,636
232. https://doi.org/10.1016/j.amepre.2022.01.021.,637
b.  Request for Information on Payment for Coordinated Care and Referrals to Community-,640
4. Establishing Payment for New FDA-approved Opioid Agonist and Antagonist Medications,644
"a.  Coding and Payment for a New Nalmefene Hydrochloride Product, Opvee®",645
,660)
norphine Product Brixadi®,654
Y. (2018). “Medication for opioid use disorder after nonfatal opioid overdose and association with mortality: A cohort study.”,656
"D. R., Dougherty, R. H., Daniels, A. S., Ghose, S. S., & Delphin-Rittmon, M. E. (2014). Medication-assisted treatment with",656
"5575. https://doi.org/10.3390/jcm12175575; Farrell, M., Shahbazi, J., Byrne, M., Grebely, J., Lintzeris, N., Chambers, M.,",657
232. https://doi.org/10.1016/j.amepre.2022.01.021.,657
5. Clarification to require an opioid use disorder diagnosis on claims for OUD treatment services,665
G.  Medicare Shared Savings Program,667
1. Executive Summary and Background,667
a. Purpose,667
b. Statutory and Regulatory Background on the Shared Savings Program,672
c. Summary of Shared Savings Program Proposals,677
2. Eligibility Requirements and Application Procedures,682
a. Overview,682
"Maintain at least 5,000 Assigned",683
c. Update Antitrust Language,686
3. Beneficiary Assignment Methodology,688
a. Proposed Revisions to the Definition of Primary Care Services,688
b. Proposed Revisions to Criteria for ACO Models to Waive Shared Savings Program Statutory,712
4. Quality Performance Standard & Other Reporting Requirements,719
a. Background,719
b. Proposal to Require Shared Savings Program ACOs to Report the Alternative Payment Model,720
"f. Over the past 2 years, we have learned that there are complexities and hurdles concerning",722
c. Proposed Changes to the Methodology for Calculating the MIPS Quality Performance,737
d. Proposal to Extend the eCQM Reporting Incentive for Meeting the Shared Savings Program,748
e. Summary of Proposals,751
1. For ACOs that report,752
2. Reporting the 5 eCQMs,752
1. For ACOs that report,752
2. Reporting the 6 eCQMs,752
1. For ACOs that report,752
. Reporting the 8 eCQMs,752
f. Proposed APP Plus Quality Measure Set,753
g. Survey Modes for the Administration of the Consumer Assessment of Healthcare Providers,758
5.  Providing the Option of Prepaid Shared Savings,758
a. Background,758
b. Eligibility,765
c. Application Procedure & Contents,769
d. Allowable and Prohibited Uses of Prepaid Shared Savings,772
e. Calculation of Prepaid Shared Savings,778
"f. Duration, Frequency and Withholding or Termination of Prepaid Shared Savings Payments",793
g. Monitoring ACO Eligibility for and use of Prepaid Shared Savings,797
h. Recoupment of Prepaid Shared Savings,799
i. OIG Safe Harbor Authority,802
6.  Advance Investment Payment Policies,802
a. Proposal to Allow ACOs Receiving Advance Investment Payments to Voluntarily Terminate,802
b. Proposal to Recoup Advance Investment Payments when CMS Terminates the Participation,805
7.  Financial Methodology,806)
a. Overview,806
b. Health Equity Benchmark Adjustment,807
c. Reopening ACO Payment Determinations,822
"d. Mitigating the Impact of Significant, Anomalous, and Highly Suspect Billing Activity on",870
e. Seeking Comment on Establishing Higher Risk and Potential Reward under the ENHANCED,893
1. What would the option of a revised ENHANCED track allow an ACO to do that they are,909
"2. How would higher downside risk impact an ACO’s care delivery strategies, including",909
3. How does higher downside risk impact an ACO’s downstream provider arrangements to,909
"4. What types of organizations, including but not limited to ACOs and providers, are interested",909
"5. What additional flexibilities or features (for example, benefit enhancements, advance",909
6. How should a revised ENHANCED track with higher risk and potential reward also require,909
s with,909
"8. How should CMS consider the discount, sharing rate, and risk corridors or marginal savings",909
9. How might we improve beneficiary assignment and are there different considerations for,910
11. We are interested in ways to increase participation by healthcare providers and suppliers in,910
f. Proposed Technical Change for Consistency in Financial Calculations,910
8.  Beneficiary Notification Requirements,916
a. Proposal to Modify the Requirements for When ACOs Must Provide the Beneficiary,916
b. Limit the Distribution of the Beneficiary Notification to Beneficiaries Likely to be Assigned,917
"H.  Medicare Part B Payment for Preventive Services (§§ 410.10, 410.57, 410.64, 410.152)",919
1.  Part B Preventive Vaccines and their Administration,919
a. Statutory Background,919
"b. Pneumococcal, Influenza and Hepatitis B Vaccine Administration",920
c. COVID-19 Vaccine Administration,922
l Payment for Administration of Preventive Vaccines,924
e. COVID-19 Monoclonal Antibodies and their Administration,926
f. Summary of Payment Amounts for CY 2025,928
2. Revised Payment Policies for Hepatitis B Vaccine Administration,931
a. Background,931
b. Revisions to Payment Policies for Hepatitis B Vaccinations,932
c. Revisions to Payment Policies for Hepatitis B Vaccinations in Rural Health Clinics (RHC) and,933
d. Regulations Concerning Hepatitis B Vaccines and their Administration,936
3. Payment for Drugs Covered as Additional Preventive Services (§410.152),937
a.  Statutory Background,937
b. Proposed Fee Schedule for Drugs Covered as Additional Preventive Services (DCAPS),939
c. Payment for Supplying and Administration of Drugs under the Additional Preventive Services,944
d. Payment for Drugs Covered as Additional Preventive Services in RHCs and FQHCs,947
Program,949
1.  Background,949
a.  Overview of the Medicare Prescription Drug Inflation Rebate Program,949
b.  Summary of Proposed Policies for the Medicare Prescription Drug Inflation Rebate Program,951
c.  Timeline of Key Dates for the Medicare Prescription Drug Inflation Rebate Program,955
2.  Medicare Part B Drug Rebates for Single Source Drugs and Biological Products with Prices,958
a.  Definitions (§ 427.20),958
b.  Determination of Part B Rebatable Drugs (§§ 427.100 through 427.101),959
i.  Definitions,959
c.  Inflation-Adjusted Beneficiary Coinsurance Adjustment and Adjusted Medicare Payment for,968
d.  Determination of the Rebate Amount for Part B Rebatable Drugs (§§ 427.300 through,972
i.  Definitions,972
v.  Adjustments for Changes to Billing and Payment Codes,994
e.  Reducing the Rebate Amount for Part B Rebatable Drugs in Shortage and When There Is a,995
i.  Definitions,996
"f Rebate Amounts, Reconciliation, Suggestion of Error, and Payments (§§ 427.500",1006
i.  Definitions,1007
g.  Enforcement of Manufacturer Payment of Rebate Amounts (§ 427.600),1022
h.  Severability (§ 427.10),1027
"3.  Medicare Part D Drug Rebates for Drugs, Biologicals, and Sole Source Generic Drugs with",1028
a.  Definitions (§ 428.20),1029
b.  Determination of Part D Rebatable Drugs (§§ 428.100 through 428.101),1030
i.  Definitions,1030
c.  Determination of the Rebate Amount for Part D Rebatable Drugs (§§ 428.200 through,1033
i.  Definitions,1033
v.  Treatment of New Formulations of Part D Rebatable Drugs,1065
d.  Reducing the Rebate Amount for Part D Rebatable Drugs in Shortage and When There Is a,1067
i.  Definitions,1069
"e.  Reports of Rebate Amounts, Reconciliation, Suggestion of Error, and Payments (§§ 428.400",1083
i.  Definitions,1085
428.500),1100
g.  Severability (§ 428.10),1104
J. Request for Information: Building upon the MIPS Value Pathways (MVPs) Framework to,1105
1. Background,1105
2. Solicitation of Public Comments,1111
a. Participant Definition,1111
b. MVP Performance Assessment,1115
c.  Payment Methodology,1119
d. Care Delivery and Incentives for Partnerships with Accountable Care Entities and Integration,1121
e. Health Information Technology and Data Sharing,1122
f. Health Equity,1124
g. Multi-payer Alignment,1126
K. Expand Colorectal Cancer Screening,1127
1. Background,1128
2. Statutory Authority,1130
3. Regulatory and NCD Authority,1130
4. Proposed Revisions,1134
6. Summary,1144
L.  Requirements for Electronic Prescribing for Controlled Substances for a Covered Part D,1145
